token_address,decimals
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0x8E870D67F660D95d5be530380D0eC0bd388289E1,18
0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,18
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,6
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18
0x8E870D67F660D95d5be530380D0eC0bd388289E1,18
0x06AF07097C9Eeb7fD685c692751D5C66dB49c215,18
0x6B175474E89094C44Da98b954EedeAC495271d0F,18
0x408e41876cCCDC0F92210600ef50372656052a38,18
0xfA3E941D1F6B7b10eD84A0C211bfA8aeE907965e,18
0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C,18
0x0D8775F648430679A709E98d2b0Cb6250d2887EF,18
0x39AA39c021dfbaE8faC545936693aC917d5E7563,8
0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643,8
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,8
0x5e74C9036fb86BD7eCdcb084a0673EFc32eA31cb,18
0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,18
0x4D13d624a87baa278733c068A174412AfA9ca6C8,18
0x86FADb80d8D2cff3C3680819E4da99C10232Ba0F,18
0x4470BB87d77b963A013DB939BE332f927f2b992e,4
0x3A9FfF453d50D4Ac52A6890647b823379ba36B9E,18
0xaeC2E87E0A235266D9C5ADc9DEb4b2E29b54D009,0
0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,18
0x514910771AF9Ca656af840dff83E8264EcF986CA,18
0xC0F9bD5Fa5698B6505F643900FFA515Ea5dF54A9,18
0x2b591e99afE9f32eAA6214f7B7629768c40Eeb39,8
0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d,4
0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2,18
0x960b236A07cf122663c4303350609A66A7B288C0,18
0x054B642117892205A6F5a0b8c29Ffd10a6369d19,18
0x78a685E0762096ed0F98107212e98F8C35A9D1D8,10
0x07597255910a51509CA469568B048F2597E72504,18
